numregistro,fecha,precio
81,31/01/2018,8670992
31,14/04/2019,4454281
96,08/12/2018,9219104
52,22/03/2018,795519
45,31/12/2017,7673316
50,16/02/2017,8693369
91,27/02/2018,1332571
29,12/05/2017,7245420
99,20/06/2017,8790812
89,21/04/2017,1472541
25,06/12/2017,4207657
40,07/05/2019,8531831
39,02/04/2017,5666215
81,11/04/2019,5457201
58,30/10/2016,4776329
92,21/03/2018,4202047
98,18/03/2019,7413412
82,30/05/2017,7134759
71,20/06/2016,9939539
50,12/06/2017,5532304
67,04/02/2017,2234653
70,28/07/2017,9259637
8,19/09/2017,1666673
56,06/01/2017,1182964
1,10/03/2017,5080307
29,07/10/2017,624275
65,08/07/2018,634781
25,17/02/2018,8322096
50,25/08/2017,7091815
58,18/12/2017,8555002
71,14/08/2018,7803088
13,22/03/2017,3944632
31,13/09/2018,2092467
40,23/02/2019,2553380
98,15/07/2018,7883519
35,18/09/2018,7979386
84,06/11/2016,4985403
64,10/02/2019,1845339
79,23/03/2018,9144360
61,14/11/2018,1693646
64,13/09/2017,5224366
100,26/12/2018,7712612
35,19/07/2016,7388449
99,23/05/2018,3953403
48,18/04/2017,1415400
72,06/02/2019,2311714
56,15/09/2016,2588158
31,23/03/2017,3660187
6,19/09/2018,7948317
24,22/11/2016,2598620
55,03/03/2019,2441478
67,27/05/2017,4165686
36,04/01/2019,3774640
69,05/04/2017,3372252
34,08/04/2019,8869847
40,01/04/2019,3329612
16,19/01/2017,1432547
86,10/03/2017,3007415
93,04/12/2017,4267168
90,19/07/2017,8717672
93,21/11/2016,1879031
14,07/09/2018,6896178
49,18/10/2017,8957974
31,03/05/2017,7925942
96,31/03/2019,2928594
75,31/10/2018,8293978
65,17/06/2018,5874905
59,01/08/2016,6097660
13,27/11/2017,3792461
6,24/12/2018,9405152
87,06/12/2018,6828579
50,08/06/2017,8534249
54,05/01/2019,7811117
78,21/12/2017,1896315
43,30/12/2016,5677965
54,26/12/2016,7277633
95,02/03/2019,4131316
70,27/06/2018,2546456
35,22/12/2016,5731849
37,23/04/2019,6453160
52,12/10/2018,9503702
12,20/10/2018,2120068
13,13/10/2016,8193513
9,06/04/2018,7738829
48,18/02/2018,699141
80,07/12/2017,3709567
30,06/02/2017,7295126
29,17/08/2016,1616718
14,15/08/2017,2462156
41,18/03/2019,8926555
82,09/11/2016,3744733
65,05/09/2018,3500676
29,05/03/2019,1063814
39,03/03/2017,1896143
14,25/03/2018,7361206
63,31/03/2017,9559206
70,05/05/2019,1689387
93,16/04/2018,9994165
1,16/11/2018,9114064
29,18/02/2019,1542307
7,26/02/2018,8011689
29,20/11/2018,8709301
91,03/12/2018,555599
67,19/08/2016,5773458
60,28/02/2017,1003345
84,14/06/2018,7281544
23,11/02/2018,7321652
86,11/09/2017,990871
53,15/06/2017,2719288
90,05/01/2017,1244450
80,25/04/2017,915099
36,20/03/2019,6366226
23,26/01/2019,6487188
18,10/03/2019,6145086
20,04/05/2018,2669918
98,04/08/2017,592640
90,02/06/2019,5779759
20,31/12/2018,6645073
82,23/09/2016,8045816
75,15/11/2018,7464626
79,30/06/2018,6699707
87,25/02/2019,3892758
9,15/06/2018,6878092
5,10/07/2017,6717540
91,22/08/2016,2913547
38,27/07/2017,5445257
81,13/08/2016,3738092
48,15/04/2018,5966736
44,22/08/2016,8252511
7,24/11/2017,1125020
57,21/09/2018,5595385
89,25/03/2018,3650348
44,31/07/2017,7391650
27,04/02/2017,7163452
55,19/08/2017,9391300
92,15/10/2016,1244391
87,05/01/2017,7565542
27,06/08/2016,1588675
34,30/12/2018,3669341
9,02/11/2016,9283012
92,24/10/2016,3693092
72,15/09/2017,1059670
10,22/03/2019,5269672
54,18/01/2019,4313804
33,09/04/2019,3951866
42,29/05/2017,5080075
21,25/06/2016,8468721
69,08/05/2018,7334696
23,05/09/2017,4404945
95,05/10/2017,8679305
92,22/01/2018,3992504
26,13/06/2017,1115811
96,19/07/2018,7126030
61,29/08/2018,9819377
41,17/07/2017,4929553
2,22/10/2016,5739393
4,15/02/2018,4035857
28,31/08/2017,4026621
22,25/10/2017,9280213
22,26/10/2017,9290240
26,01/09/2016,5520524
10,31/03/2018,5213248
51,25/05/2017,7591035
80,09/09/2017,4871041
77,15/09/2016,4645051
25,05/10/2016,4462085
95,24/09/2017,4609504
51,01/04/2018,9628904
90,28/07/2017,2702300
71,20/06/2018,4693896
46,11/09/2016,9706695
1,24/01/2018,6581825
6,07/10/2016,654594
2,08/06/2017,5917915
58,03/01/2019,5035520
32,29/01/2018,9167821
73,28/02/2017,5182238
39,09/01/2018,5983742
36,08/04/2017,623618
83,09/12/2017,3545313
89,08/03/2019,7229683
71,24/02/2018,1863377
59,12/03/2019,3249936
54,26/04/2017,3372808
44,12/04/2018,8979790
94,13/11/2017,8971252
61,19/10/2016,4230033
87,13/11/2017,6880690
55,02/09/2018,5456446
86,12/02/2019,4390448
54,26/10/2016,5446386
93,03/03/2019,1556875
7,26/06/2018,1869359
99,17/11/2018,2493920
64,30/09/2018,4806962
100,24/03/2019,9697958
36,13/07/2018,7002062
73,10/05/2019,8329538
63,30/12/2018,1118473
