idventa,numregistro,iddueno,idasesor,FAquisicion,ValorPropiedad
1,98,127,5,21/05/2016,1771534
2,25,111,10,18/08/2014,8844319
3,16,175,24,26/08/2004,6128712
4,44,295,29,26/12/2001,7385070
5,30,120,20,30/10/2013,1955459
6,75,12,45,13/09/2009,7539863
7,61,183,3,09/01/2006,525805
8,8,58,47,30/01/2006,5125002
9,43,229,15,01/03/2003,7702919
10,45,209,6,10/05/2007,4393418
11,89,183,32,19/09/2013,4477529
12,6,225,18,20/05/2005,1411457
13,92,229,47,14/11/2002,4079912
14,88,250,42,13/06/2004,655591
15,99,11,39,29/03/2006,2201283
16,13,211,36,14/05/2017,9023125
17,18,147,28,30/03/2008,1531134
18,8,211,41,01/06/2005,1527594
19,37,257,15,19/06/2004,9180436
20,9,20,30,25/01/2012,4710838
21,92,189,39,22/06/2009,6394384
22,65,107,18,10/03/2006,9356736
23,70,183,23,01/05/2001,6182100
24,69,223,30,14/02/2007,2097180
25,88,161,8,26/09/2003,8633107
26,99,70,14,07/02/2016,4346530
27,72,248,2,17/10/2016,2591872
28,64,198,10,30/04/2001,7865253
29,10,5,14,24/06/2011,4206051
30,23,124,7,30/11/2007,3472772
31,7,216,23,15/05/2007,7135143
32,21,69,3,21/04/2013,6484825
33,54,91,37,21/11/2011,8950352
34,54,73,42,19/05/2008,2661546
35,100,173,39,05/12/2001,2458506
36,7,249,16,09/11/2014,1920152
37,36,168,48,02/01/2005,2136079
38,48,274,22,24/06/2004,4778387
39,95,297,22,27/06/2004,5987389
40,44,228,43,18/11/2003,5839260
41,82,284,23,01/05/2010,6458339
42,32,258,35,26/10/2005,1845953
43,24,186,10,20/05/2006,1574074
44,52,49,29,27/06/2000,3137602
45,40,186,37,06/12/2009,6157656
46,100,155,13,27/12/2000,9383413
47,55,44,11,12/07/2005,3592066
48,30,127,27,11/11/2001,5082419
49,81,185,16,10/12/2002,3599233
50,93,24,15,07/06/2010,4802846
51,62,15,28,22/05/2013,5964990
52,84,167,48,04/02/2008,7012045
53,53,93,25,12/08/2016,5224303
54,15,89,44,11/12/2016,2829498
55,62,44,32,28/06/2010,5883023
56,82,141,30,13/09/2014,4906762
57,68,284,9,03/09/2015,3997259
58,90,246,41,16/01/2014,4148381
59,73,5,5,19/04/2016,5497939
60,12,79,35,25/03/2012,8476940
61,26,144,31,16/02/2003,8384738
62,33,44,43,09/10/2015,2242870
63,2,76,21,01/05/2001,2737060
64,23,182,18,11/11/2006,9820552
65,14,116,41,01/09/2001,3356665
66,47,193,8,20/06/2001,6811138
67,14,86,33,22/04/2007,6516106
68,69,48,40,08/07/2004,8482492
69,86,171,16,21/11/2016,6914182
70,34,295,20,11/08/2010,2620755
71,67,147,19,10/02/2003,9298375
72,1,178,50,23/10/2012,5658987
