iddueno,numregistro,Frecesion,FAdquisicion
277,59,18/08/2003,26/05/2009
263,84,20/03/2001,08/10/2012
255,69,01/02/2002,04/09/2011
232,30,11/07/2002,15/02/2011
254,51,16/02/2003,06/08/2007
149,26,25/01/2003,27/09/2013
150,9,11/12/2002,22/12/2010
77,46,11/08/2003,15/03/2008
155,96,15/10/2002,18/10/2013
272,10,08/01/2003,19/06/2010
31,80,24/06/2000,20/09/2008
226,37,22/12/2001,18/03/2010
32,77,31/07/2001,08/08/2006
82,44,23/09/2000,05/05/2009
271,5,28/03/2001,13/11/2008
94,100,13/01/2003,25/03/2013
131,9,13/03/2004,09/04/2006
221,30,17/10/2001,01/10/2014
19,64,11/11/2000,26/11/2009
279,44,17/12/2001,21/02/2012
36,78,09/05/2001,11/07/2013
266,47,22/07/2000,27/11/2012
267,42,13/11/2001,03/10/2013
154,2,28/01/2002,25/12/2011
252,44,06/10/2000,10/03/2013
200,34,28/11/2000,27/04/2008
102,48,22/07/2000,23/06/2006
55,73,04/03/2004,04/09/2012
71,22,09/07/2003,10/04/2008
160,28,27/09/2003,27/07/2006
191,83,14/12/2002,28/08/2006
214,56,03/05/2001,23/12/2014
196,28,16/11/2001,13/02/2008
129,23,20/02/2004,07/04/2015
161,63,23/03/2001,03/07/2014
191,31,30/03/2003,09/09/2009
261,45,07/01/2004,07/01/2013
188,10,08/09/2002,27/05/2015
139,91,23/04/2001,23/11/2006
168,58,26/05/2001,16/02/2006
23,41,01/02/2001,07/11/2007
171,10,08/01/2003,11/11/2010
264,64,28/11/2000,02/03/2010
60,16,21/08/2001,08/05/2008
35,55,02/09/2002,18/08/2013
282,64,04/11/2002,20/12/2009
223,3,20/01/2003,23/04/2013
152,92,13/05/2001,17/04/2015
164,98,27/12/2002,11/01/2009
291,20,24/08/2003,21/12/2009
259,63,20/09/2003,10/12/2012
26,91,08/09/2003,25/10/2010
200,3,02/10/2001,22/10/2007
246,69,27/08/2003,08/06/2006
260,79,22/02/2002,11/09/2009
26,40,17/09/2003,04/05/2006
300,98,20/03/2002,03/05/2013
263,23,20/04/2004,24/02/2010
265,12,28/04/2003,08/06/2007
235,16,16/12/2003,19/09/2012
174,11,08/05/2003,05/01/2009
269,70,20/12/2002,24/02/2013
7,77,03/04/2001,01/04/2009
296,19,22/07/2003,07/07/2010
81,11,06/05/2002,27/12/2014
77,36,09/01/2004,22/09/2013
272,47,06/07/2003,08/11/2012
237,61,25/06/2003,13/08/2009
47,42,02/12/2000,22/02/2006
3,36,02/10/2001,14/04/2011
148,67,14/07/2000,04/11/2010
12,38,30/08/2003,31/07/2009
84,34,29/04/2003,09/07/2006
94,92,28/10/2000,12/01/2014
139,86,29/12/2001,22/03/2007
48,78,28/07/2003,13/11/2011
216,71,23/11/2000,28/01/2006
72,40,14/02/2003,28/07/2013
281,62,23/12/2000,14/02/2006
207,92,06/02/2002,18/08/2008
201,65,08/06/2000,17/08/2007
242,76,30/09/2001,30/10/2013
60,47,03/02/2003,18/07/2009
163,36,28/02/2003,03/02/2015
35,57,05/06/2001,28/12/2012
96,59,06/04/2001,02/04/2010
215,19,20/10/2001,13/01/2006
251,13,17/09/2002,03/01/2011
121,80,29/07/2002,13/11/2011
29,60,04/09/2003,05/12/2011
75,53,15/04/2003,22/06/2010
117,96,24/09/2000,19/08/2009
234,33,03/03/2001,15/12/2010
181,30,10/09/2000,15/06/2014
134,96,28/01/2003,01/04/2014
262,11,12/09/2003,08/10/2005
42,58,09/12/2000,15/11/2012
254,43,29/11/2000,05/03/2011
256,93,20/03/2003,30/01/2008
109,11,06/11/2002,12/01/2015
182,91,27/08/2003,22/06/2009
100,47,23/02/2004,08/12/2008
191,62,05/08/2000,13/09/2009
9,81,24/08/2002,03/10/2006
245,64,14/01/2003,03/01/2013
69,65,12/08/2000,31/08/2013
159,39,03/10/2001,26/11/2007
66,96,15/09/2003,21/10/2010
183,16,29/11/2003,28/11/2009
11,26,18/06/2001,06/03/2014
115,54,12/07/2003,16/06/2005
160,57,21/04/2002,02/09/2012
11,10,01/10/2001,28/07/2010
70,12,01/09/2001,26/02/2009
283,9,29/05/2003,16/05/2011
60,52,17/08/2001,24/02/2013
151,68,09/02/2004,18/07/2009
47,6,20/07/2002,03/01/2010
101,96,20/10/2003,03/11/2008
231,92,10/11/2000,01/07/2005
249,72,07/08/2003,25/04/2014
47,19,09/11/2002,26/07/2011
78,46,28/02/2003,04/04/2010
222,57,13/04/2003,02/07/2010
113,43,15/06/2003,07/12/2007
283,27,12/11/2001,17/12/2008
159,70,06/12/2003,10/07/2007
243,50,30/06/2000,02/06/2012
87,88,30/08/2003,09/05/2012
84,80,16/10/2003,10/02/2013
72,40,06/06/2002,03/06/2015
151,24,25/01/2003,25/09/2010
115,39,01/12/2000,13/12/2014
50,7,15/10/2000,15/01/2007
111,25,24/05/2002,01/03/2011
282,69,28/02/2003,01/06/2011
218,60,01/05/2003,13/01/2015
191,20,20/09/2003,03/09/2010
189,97,18/07/2003,08/01/2006
92,48,10/05/2001,04/11/2012
223,81,25/09/2003,30/11/2007
222,34,06/05/2004,17/11/2010
173,29,01/07/2003,17/07/2012
8,64,07/01/2001,26/03/2014
70,91,24/06/2001,09/02/2012
198,17,11/03/2001,07/04/2007
234,70,31/10/2000,08/10/2008
198,20,09/09/2000,01/08/2005
199,82,29/10/2000,20/08/2007
250,90,25/06/2002,11/12/2013
89,61,26/12/2003,17/07/2005
76,55,04/10/2002,13/12/2007
269,69,30/05/2004,03/09/2014
145,14,18/07/2002,27/06/2010
170,73,28/09/2003,03/05/2011
175,84,20/09/2003,21/05/2007
78,22,27/09/2000,23/06/2005
68,22,08/01/2004,14/04/2015
56,79,08/05/2001,09/01/2007
104,72,25/07/2003,17/06/2005
205,9,24/08/2003,14/03/2008
153,4,25/07/2001,09/08/2010
130,14,02/01/2004,13/12/2009
273,74,15/04/2004,06/06/2014
138,36,01/02/2004,08/12/2005
134,90,12/08/2001,30/10/2005
248,32,30/07/2003,30/10/2010
65,40,19/12/2003,20/08/2006
221,99,30/04/2001,31/03/2009
25,21,08/08/2001,20/12/2014
139,6,31/01/2003,13/08/2012
1,25,10/03/2001,19/08/2005
131,27,15/07/2001,14/02/2007
259,19,30/11/2002,30/09/2014
236,58,30/09/2003,07/03/2009
57,25,16/06/2001,09/12/2012
11,45,13/05/2001,24/03/2008
25,71,08/09/2003,20/06/2014
186,74,07/04/2002,01/10/2006
83,34,22/03/2002,13/12/2007
59,47,08/11/2003,30/10/2011
80,6,10/01/2003,08/09/2007
84,94,19/12/2000,16/11/2005
256,68,03/10/2002,18/01/2006
95,84,30/03/2003,29/12/2013
75,36,26/04/2004,23/01/2013
33,1,15/07/2003,24/12/2008
1,6,16/02/2002,09/08/2007
148,32,25/02/2003,06/03/2015
199,16,18/07/2002,10/03/2007
247,23,08/02/2001,06/08/2013
106,22,27/04/2001,19/07/2010
275,2,07/11/2001,22/05/2008
270,97,22/03/2004,14/05/2006
173,77,29/08/2001,03/04/2009
109,15,14/09/2001,05/08/2010
182,37,11/10/2002,07/07/2008
215,7,01/04/2001,20/04/2015
264,46,19/10/2002,03/03/2013
290,95,28/09/2003,25/05/2010
