numregistro,idempresa,valorcompra,fcompra
1,6,3820067,2017-05-12
2,1,4874351,2011-02-03
3,2,3382493,2011-12-25
4,6,2610156,2007-02-24
5,2,8849443,2012-05-15
6,6,3654186,2018-01-12
7,2,7008343,2011-01-18
8,3,2813507,2010-03-13
9,6,2147508,2007-02-19
10,1,3797771,2012-05-07
11,2,2166444,2009-01-06
12,4,1480091,2017-09-29
13,2,7213258,2007-11-10
14,1,4992854,2008-10-29
15,3,6091493,2006-09-21
16,3,4791242,2017-11-20
17,2,9758881,2007-06-08
18,4,8064869,2017-08-16
19,1,2791640,2018-06-17
20,5,7732173,2015-02-05
21,3,7447944,2010-08-05
22,6,5535902,2012-10-02
23,5,669514,2011-08-16
24,1,7372685,2008-09-20
25,5,3246924,2018-02-25
26,4,7619782,2007-09-16
27,4,6672984,2014-06-02
28,4,7761650,2015-06-15
29,3,6109763,2011-10-29
30,4,6837269,2015-01-29
31,4,3442698,2013-11-21
32,3,2405239,2006-09-09
33,2,1804639,2016-07-08
34,1,6310508,2015-11-28
35,1,5091710,2007-10-25
36,5,4600392,2012-01-28
37,2,2185614,2013-05-03
38,5,7026200,2009-06-24
39,6,9880279,2018-08-20
40,3,8451818,2019-03-21
41,5,5338669,2014-12-11
42,3,6825788,2016-02-08
43,2,4145808,2018-01-28
44,2,3396621,2018-08-19
45,2,5383718,2015-10-20
46,4,5531984,2008-08-22
47,4,3624566,2017-05-26
48,3,5640543,2012-12-08
49,2,7113685,2013-05-19
50,2,1968314,2014-08-08
51,2,4888419,2005-10-20
52,3,8693888,2010-12-26
53,6,6613582,2006-04-13
54,3,6208456,2008-12-19
55,4,7406817,2018-07-15
56,5,7815382,2016-01-22
57,4,2598751,2006-02-26
58,2,5327200,2010-01-02
59,6,5025570,2015-06-20
60,5,2632582,2009-10-02
61,4,4361206,2017-12-16
62,2,6230533,2008-10-09
63,3,1869709,2006-07-15
64,1,8966487,2018-07-11
65,6,1793035,2014-06-03
66,1,6507757,2010-09-02
67,2,8066933,2006-01-06
68,4,9973684,2012-12-26
69,4,2382344,2010-10-18
70,2,5596356,2011-03-19
71,4,3560792,2010-09-02
72,6,9250563,2006-04-12
73,4,9481228,2005-10-28
74,4,9335563,2010-10-22
75,2,4942979,2013-04-04
76,3,7902870,2015-06-09
77,6,5119410,2016-10-03
78,1,6379484,2017-02-12
79,4,3236634,2010-01-03
80,5,3750366,2008-09-08
81,4,3972928,2009-07-01
82,6,2802592,2009-07-05
83,3,8657904,2014-08-05
84,5,9751383,2009-01-21
85,6,8838636,2006-09-23
86,5,4479286,2006-06-30
87,5,2722316,2011-07-08
88,2,7954756,2018-05-12
89,1,1139941,2014-04-24
90,5,4850335,2015-12-02
91,4,8280125,2017-08-31
92,6,1136636,2016-06-20
93,6,2121762,2017-07-20
94,4,9803281,2018-03-28
95,1,1622088,2007-07-01
96,5,9426012,2019-04-01
97,6,7125065,2018-04-18
98,3,7865422,2015-01-06
99,6,4712485,2017-10-20
100,6,8365075,2012-07-27
